bank,item,a,d
eng_comprehension_full,boy,2.014630371606149,-2.4621861987950564
eng_comprehension_full,bread,2.015947805191841,-0.7098181601901403
eng_comprehension_full,break,3.143564984498905,-4.76803909634163
eng_comprehension_full,breakfast,2.0066850978114448,-0.005229818441587916
eng_comprehension_full,bring,2.223552979993439,0.02826324720334931
eng_comprehension_full,broken,2.5478005712098866,-3.636845009757603
eng_comprehension_full,broom,1.9186364931032003,-1.4968845940686988
eng_comprehension_full,brother,0.13209925602319156,-1.2978991750688866
eng_comprehension_full,brush,2.602686150817876,0.2196214168577897
eng_comprehension_full,bubbles,2.0660016747005243,-0.47449252106958667
eng_comprehension_full,bug,2.1870676951747674,-2.3719571564297013
eng_comprehension_full,bump,1.9815150678221378,-2.363943620232294
eng_comprehension_full,bunny,1.8600598208111088,-0.3369492096008013
eng_comprehension_full,bus,1.9572148268038978,-1.9991635383613107
eng_comprehension_full,butter,2.4737599193346824,-4.389409004632005
eng_comprehension_full,butterfly,2.253946155612078,-2.543572206522003
eng_comprehension_full,button,2.120985860301989,-1.3007890126041683
eng_comprehension_full,bye,2.039387654521875,4.253865897056067
eng_comprehension_full,cake,1.9047513002088488,-2.678221863306708
eng_comprehension_full,candy,1.3982431034122536,-2.156414588600778
eng_comprehension_full,car,2.8741303708061468,1.7008946375945733
eng_comprehension_full,careful,1.6239826589221547,-0.18963261424064823
eng_comprehension_full,carrots,2.171050210890332,-1.6586454487817535
eng_comprehension_full,cat,1.7410668932902171,0.8670792867097163
eng_comprehension_full,cereal,1.8396609979590817,-0.4195975301988174
eng_comprehension_full,chair,3.1572026773383195,-0.27827181339435936
eng_comprehension_full,cheek,2.2929439551036865,-2.873541964982406
eng_comprehension_full,cheerios,1.1136189562766359,0.3862277861693158
eng_comprehension_full,cheese,1.951500733762827,-0.12071090187019716
eng_comprehension_full,chicken (animal),2.2140325093016973,-1.9190978676628887
eng_comprehension_full,chicken (food),1.8875684914749866,-1.9715154538360287
eng_comprehension_full,child,1.709528236818528,-3.713759711187585
eng_comprehension_full,child's own name,0.9189879641625791,2.152290356348399
eng_comprehension_full,choo choo,1.7770923114151305,-1.0612255173732363
eng_comprehension_full,church*,1.1319018168986645,-2.5650372366337857
eng_comprehension_full,clean (action),2.531988361314289,-1.8528693800653422
eng_comprehension_full,clean (description),2.511489077614661,-2.4291950187317237
eng_comprehension_full,clock,1.9488882726729175,-2.1251258213112396
eng_comprehension_full,close,2.169320908299094,-0.41574222957601403
eng_comprehension_full,coat,1.6482990697329325,-1.5098374775904706
eng_comprehension_full,cockadoodledoo,1.8292802170935472,-1.8401168330154638
eng_comprehension_full,coffee,1.8285095819928883,-3.08961229589663
eng_comprehension_full,cold,2.4623449858296143,-1.511631550604863
eng_comprehension_full,comb,1.5984843891554028,-1.012728292116492
eng_comprehension_full,cookie,1.66731391186766,0.6844833390798877
